date,feature,ic,ic_ma60,ic_std60
2020-01-06,atr10,0.4657708004255537,0.005283040399564776,0.41317036060691886
2020-01-07,atr10,0.16304223000404255,0.00980976890896154,0.4133897282278074
2020-01-08,atr10,-0.1704413037371723,0.004529078882818621,0.4136389436567157
2020-01-09,atr10,-0.4340331495728837,-0.004126405058208076,0.41733723862153316
2020-01-10,atr10,0.1445761227230242,0.004032360984192336,0.41534159463819836
2020-01-13,atr10,-0.0932382275868354,-0.0015227581817427872,0.4143589396685833
2020-01-14,atr10,0.5766108382837272,0.004292834665957185,0.4200400298785989
2020-01-15,atr10,-0.19589506331495593,-0.0015020164689556156,0.4203688285031246
2020-01-16,atr10,0.2057731163995221,0.002758850325362509,0.42116506136959997
2020-01-17,atr10,-0.05558552786587975,0.0035292586616266987,0.42101278877858916
