year_month,feature,monthly_event_pred_mean,monthly_direction_acc_mean,days_in_month,monthly_success_rate
2019-02,logret_1,0.058823529411764705,0.5294117647058824,17,0.031141868512110725
2019-02,ret_5,0.058823529411764705,0.5294117647058824,17,0.031141868512110725
2019-02,rsi5,0.055882352941176466,0.5294117647058824,17,0.02958477508650519
2019-02,macd_hist,0.055882352941176466,0.5294117647058824,17,0.02958477508650519
2019-02,cci20,0.055882352941176466,0.5294117647058824,17,0.02958477508650519
2019-02,roc10,0.05294117647058823,0.5294117647058824,17,0.02802768166089965
2019-02,mfi14,0.04411764705882353,0.5294117647058824,17,0.023356401384083045
2019-02,macd_signal,-0.026470588235294117,0.5294117647058824,17,0.014013840830449827
2019-02,cmf20,-0.026470588235294117,0.5294117647058824,17,0.014013840830449827
2019-02,pos_in_don20,-0.026470588235294117,0.5294117647058824,17,0.014013840830449827
2019-02,macd,-0.026470588235294117,0.5294117647058824,17,0.014013840830449827
2019-02,roc20,0.026470588235294114,0.5294117647058824,17,0.014013840830449825
2019-02,stochd14,0.017647058823529415,0.5294117647058824,17,0.00934256055363322
2019-02,vol_roc5,0.01764705882352941,0.5294117647058824,17,0.009342560553633217
2019-02,willr14,-0.014705882352941176,0.5294117647058824,17,0.007785467128027681
2019-02,rsi6,0.014705882352941176,0.5294117647058824,17,0.007785467128027681
2019-02,don20_hi,0.014705882352941176,0.5294117647058824,17,0.007785467128027681
2019-02,rsi10,-0.014705882352941176,0.5294117647058824,17,0.007785467128027681
2019-02,dev_ema20,0.014705882352941176,0.5294117647058824,17,0.007785467128027681
2019-02,vwap20,0.014705882352941176,0.5294117647058824,17,0.007785467128027681
2019-02,vol_z20,0.014705882352941176,0.5294117647058824,17,0.007785467128027681
2019-02,stochk14,-0.014705882352941176,0.5294117647058824,17,0.007785467128027681
2019-02,dev_sma20,0.01176470588235294,0.5294117647058824,17,0.0062283737024221445
2019-02,corr_close_vol20,-0.004901960784313726,0.47058823529411764,17,0.0023068050749711654
2019-02,rsi14,0.002941176470588238,0.5294117647058824,17,0.0015570934256055376
2019-02,ema20,0.002941176470588235,0.5294117647058824,17,0.0015570934256055361
2019-02,don20_lo,0.002941176470588235,0.5294117647058824,17,0.0015570934256055361
2019-02,vwap10,0.002941176470588235,0.5294117647058824,17,0.0015570934256055361
2019-02,sma20,0.002941176470588235,0.5294117647058824,17,0.0015570934256055361
2019-02,ema10,0.002941176470588235,0.5294117647058824,17,0.0015570934256055361
2019-02,ema5,0.002941176470588235,0.5294117647058824,17,0.0015570934256055361
2019-02,sma5,0.002941176470588235,0.5294117647058824,17,0.0015570934256055361
2019-02,ema50,0.002941176470588235,0.5294117647058824,17,0.0015570934256055361
2019-02,sma10,0.002941176470588235,0.5294117647058824,17,0.0015570934256055361
2019-02,stochk5,0.0,0.5294117647058824,17,0.0
2019-02,ema12_26_rel,0.0,0.5294117647058824,17,0.0
2019-02,ma_squeeze_20_50,0.0,0.47058823529411764,17,0.0
2019-02,don55_hi,0.0,0.47058823529411764,17,0.0
2019-02,don55_lo,0.0,0.47058823529411764,17,0.0
2019-02,corr_obv_vwap20,0.0,0.47058823529411764,17,0.0
2019-02,sma50,0.0,0.47058823529411764,17,0.0
2019-03,obv,0.17916666666666667,0.525,20,0.09406250000000001
2019-03,rel_range,0.12916666666666668,0.475,20,0.06135416666666667
2019-03,vol10,0.10833333333333332,0.525,20,0.056874999999999995
2019-03,atr5,0.09833333333333333,0.525,20,0.051625
2019-03,atr10,0.0875,0.525,20,0.0459375
2019-03,atr14,0.0875,0.525,20,0.0459375
2019-03,vol_z20,0.0875,0.475,20,0.041562499999999995
2019-03,don20_lo,-0.075,0.475,20,0.035625
2019-03,vwap20,-0.07083333333333333,0.475,20,0.03364583333333333
2019-03,don20_hi,-0.07083333333333333,0.475,20,0.03364583333333333
2019-03,gk20,0.07083333333333333,0.475,20,0.03364583333333333
2019-03,parkinson20,0.07083333333333333,0.475,20,0.03364583333333333
2019-03,sma20,-0.07083333333333333,0.475,20,0.03364583333333333
2019-03,tr14,0.05416666666666666,0.525,20,0.028437499999999998
2019-03,rsi14,-0.05,0.525,20,0.026250000000000002
2019-03,sma10,-0.054166666666666675,0.475,20,0.02572916666666667
2019-03,vwap10,-0.054166666666666675,0.475,20,0.02572916666666667
2019-03,mfi14,-0.05416666666666666,0.475,20,0.025729166666666664
2019-03,stochk14,-0.05416666666666666,0.475,20,0.025729166666666664
2019-03,ema12_26_rel,0.04583333333333332,0.525,20,0.024062499999999997
2019-03,cmf20,-0.05,0.475,20,0.02375
2019-03,macd_hist,0.04166666666666667,0.525,20,0.021875000000000002
2019-03,roc10,0.041666666666666664,0.525,20,0.021875
2019-03,logret_1,-0.04583333333333332,0.475,20,0.021770833333333326
2019-03,sma5,-0.04166666666666667,0.475,20,0.01979166666666667
2019-03,stochd14,-0.041666666666666664,0.475,20,0.019791666666666666
2019-03,curv5,-0.041666666666666664,0.475,20,0.019791666666666666
2019-03,corr_close_vol20,0.03916666666666667,0.475,20,0.018604166666666668
2019-03,sma50,-0.03333333333333334,0.475,20,0.015833333333333335
2019-03,rsi6,-0.03333333333333333,0.475,20,0.01583333333333333
2019-03,rsi10,0.025,0.525,20,0.013125000000000001
2019-03,macd_signal,0.024999999999999998,0.525,20,0.013125
2019-03,pos_in_don20,-0.029166666666666664,0.425,20,0.012395833333333332
2019-03,vol_roc5,0.023333333333333338,0.475,20,0.011083333333333336
2019-03,ret_5,0.021666666666666674,0.475,20,0.01029166666666667
2019-03,roc5,0.021666666666666674,0.475,20,0.01029166666666667
2019-03,vol20,0.020833333333333336,0.475,20,0.009895833333333335
